uniqueID,LakeVolume,SurfaceArea.units,SurfaceArea.value,Depth.mean,Depth.max,Secchi,pH,LakeName,LakeCountry
V100000001,,km2,1271.12,,,,,Lake-Claire,Afghanistan
V100000002,,km2,834.56,,,,,Lake-Luang,Albania
V100000003,,km2,4269.47,,,,,Lake-Mirim,Albania
V100000004,,km2,571.3,,,,,Lake-Atlin,Argenti
V100000005,,km2,679.54,,,,,Lake-Ayakkum,Argenti
V100000006,,km2,1329.25,,,,,Lake-Chad,Argenti
V100000007,,km2,581.31,,,,,Lake-Har,Argenti
V100000008,,km2,429.2,,,,,Lake-Storsjon,Argenti
V100000009,,km2,744.89,,,,,Lake-Paijanne,Armenia
V100000010,,km2,2504.53,,,,,Lake-Cedar,Australia
V100000011,,km2,1040.59,,,,,Lake-Chapala,Australia
V100000012,,km2,547.18,,,,,Lake-Bakhtegan,Austria
V100000013,,km2,560.23,,,,,Lake-Labaz,Austria
V100000014,,km2,916.96,,,,,Lake-Contwoyto,Bolivia
V100000015,,km2,570.2,,,,,Lake-Gyaring,Bolivia
V100000016,,km2,1603.98,,,,,Lake-Martre,Bolivia
V100000017,,km2,410.7,,,,,Lake-Aby,Brazil
V100000018,,km2,29.09,,,,,Lake-Brienz,Brazil
V100000019,,km2,59.2,,,,,Lake-Iseo,Brazil
V100000020,,km2,1197.44,,,,,Lake-Kainji,Brazil
V100000021,,km2,1236.03,,,,,Lake-Kapchagayskoyevodo,Brazil
V100000022,,km2,756.15,,,,,Lake-Pyaozero,Brazil
V100000023,,km2,748.55,,,,,Lake-Sasykkol,Brazil
V100000024,,km2,2649.86,,,,,Lake-Tapajos,Brazil
V100000025,,km2,24518.67,,,,,Lake-Aral,Cameroon
V100000026,,km2,2939.46,,,,,Lake-Alakol,Canada
V100000027,,km2,362.53,,,,,Lake-Angostura,Canada
V100000028,,km2,902.91,,,,,Lake-Argyle,Canada
V100000029,,km2,683.11,,,,,Lake-Aylmer,Canada
V100000030,,km2,32056.74,,,,,Lake-Baikal,Canada
V100000031,,km2,578.09,,,,,Lake-Balaton,Canada
V100000032,,km2,532.29,,,,,Lake-Bardawil,Canada
V100000033,,km2,282.24,,,,,Lake-Bear,Canada
V100000034,,km2,1167.05,,,,,Lake-Becharof,Canada
V100000035,,km2,558.02,,,,,Lake-Bienville,Canada
V100000036,,km2,160.21,,,,,Lake-Bisi,Canada
V100000037,,km2,578.2,,,,,Lake-Buffalo,Canada
V100000038,,km2,158.31,,,,,Lake-Burdur,Canada
V100000039,,km2,251.59,,,,,Lake-Burullus,Canada
V100000040,,km2,1230.06,,,,,Lake-Chany,Canada
V100000041,,km2,552.83,,,,,Lake-Churchill,Canada
V100000042,,km2,162.03,,,,,Lake-Corrib,Canada
V100000043,,km2,1203.94,,,,,Lake-Cree,Canada
V100000044,,km2,516.44,,,,,Lake-Deschambault,Canada
V100000045,,km2,628.9,,,,,Lake-Dore,Canada
V100000046,,km2,590.07,,,,,Lake-Ebi,Canada
V100000047,,km2,8048.29,,,,,Lake-Eyre,Canada
V100000048,,km2,538.66,,,,,Lake-Ferguson,Canada
V100000049,,km2,217.22,,,,,Lake-Fuxian,Canada
V100000050,,km2,2120.17,,,,,Lake-Hulun,Canada
V100000051,,km2,453.24,,,,,Lake-Island,Canada
V100000052,,km2,6223.73,,,,,Lake-Issykkul,Canada
V100000053,,km2,593.27,,,,,Lake-Kamilukuak,Canada
V100000054,,km2,440.51,,,,,Lake-Kaminuriak,Canada
V100000055,,km2,5289.82,,,,,Lake-Kariba,Canada
V100000056,,km2,179.14,,,,,Lake-Llancanelo,Canada
V100000057,,km2,207.83,,,,,Lake-Maggiore,Canada
V100000058,,km2,16.63,,,,,Lake-Mandinga,Canada
V100000059,,km2,5083.87,,,,,Lake-Mweru,Canada
V100000060,,km2,375.57,,,,,Lake-Neagh,Canada
V100000061,,km2,510.69,,,,,Lake-Ngangla,Canada
V100000062,,km2,7935.69,,,,,Lake-Nicaragua,Canada
V100000063,,km2,19010.8,,,,,Lake-Ontario,Canada
V100000064,,km2,90.35,,,,,Lake-Patzcuaro,Canada
V100000065,,km2,3498.41,,,,,Lake-Peipus,Canada
V100000066,,km2,369.53,,,,,Lake-Poso,Canada
V100000067,,km2,701.87,,,,,Lake-Pyasino,Canada
V100000068,,km2,508.4,,,,,Lake-Rainy,Canada
V100000069,,km2,977.04,,,,,Lake-Salton,Canada
V100000070,,km2,394.23,,,,,Lake-Scutari,Canada
V100000071,,km2,5452.97,,,,,Lake-sser,Canada
V100000072,,km2,980.4,,,,,Lake-Takiyuak,Canada
V100000073,,km2,846.87,,,,,Lake-Tangra,Canada
V100000074,,km2,614.43,,,,,Lake-Taupo,Canada
V100000075,,km2,970.11,,,,,Lake-Champlain,Chad
V100000076,,km2,315.82,,,,,Lake-Abe,Chi
V100000077,,km2,2885.77,,,,,Lake-Amadjuak,Chi
V100000078,,km2,108.44,,,,,Lake-Ashuanipi,Chi
V100000079,,km2,630.37,,,,,Lake-Beysehir,Chi
V100000080,,km2,670.31,,,,,Lake-Biwa,Chi
V100000081,,km2,796.03,,,,,Lake-Chao,Chi
V100000082,,km2,6253.63,,,,,Lake-Chiquita,Chi
V100000083,,km2,511.48,,,,,Lake-Dauphin,Chi
V100000084,,km2,3415.13,,,,,Lake-Dubawnt,Chi
V100000085,,km2,446.27,,,,,Lake-Gandhi,Chi
V100000086,,km2,332.96,,,,,Lake-Ginebra,Chi
V100000087,,km2,2516.64,,,,,Lake-Kremenshugskoye,Chi
V100000088,,km2,17271.1,,,,,Lake-Ladoga,Chi
V100000089,,km2,356.82,,,,,Lake-Lao,Chi
V100000090,,km2,300.32,,,,,Lake-Malheur,Chi
V100000091,,km2,709.81,,,,,Lake-Markermeer,Chi
V100000092,,km2,465.77,,,,,Lake-Minto,Chi
V100000093,,km2,575.16,,,,,Lake-Murray,Chi
V100000094,,km2,777.13,,,,,Lake-Poopo,Chi
V100000095,,km2,263.4,,,,,Lake-Prespa,Chi
V100000096,,km2,517.63,,,,,Lake-Razelm,Chi
V100000097,,km2,14.04,,,,,Lake-Sempach,Chi
V100000098,,km2,556.24,,,,,Lake-Tathli,Chi
V100000099,,km2,447.87,,,,,Lake-Tebesjuak,Chi
V100000100,,km2,1190.55,,,,,Lake-Beloye,Chile
V100000101,,km2,302.65,,,,,Lake-Hazen,Chile
V100000102,,km2,560.73,,,,,Lake-Brisas,Dominican_Republic
V100000103,,km2,2782.03,,,,,Lake-Khovsgol,DRC
V100000104,,km2,774.56,,,,,Lake-Segozero,DRC
V100000105,,km2,1259.61,,,,,Lake-Sevan,DRC
V100000106,,km2,721.78,,,,,Lake-Alexandri,Egypt
V100000107,,km2,693.29,,,,,Lake-Kulundinskoye,Egypt
V100000108,,km2,768.28,,,,,Lake-Mangueira,Estonia
V100000109,,km2,1100.55,,,,,Lake-Abaya,Ethiopia
V100000110,,km2,1386.1,,,,,Lake-Argentino,Ethiopia
V100000111,,km2,644.72,,,,,Lake-Assad,Ethiopia
V100000112,,km2,314.92,,,,,Lake-Chamo,Ethiopia
V100000113,,km2,2415.2,,,,,Lake-Poyang,Ethiopia
V100000114,,km2,1047.15,,,,,Lake-Selawik,Ethiopia
V100000115,,km2,3085.59,,,,,Lake-Ta,Ethiopia
V100000116,,km2,317.82,,,,,Lake-Emborcacao,Finland
V100000117,,km2,848.08,,,,,Lake-Malaren,Finland
V100000118,,km2,29816.65,,,,,Lake-Malawi,Finland
V100000119,,km2,4559.22,,,,,Lake-Manitoba,Finland
V100000120,,km2,140.78,,,,,Lake-Como,France
V100000121,,km2,7621.08,,,,,Lake-Athabasca,Germany
V100000122,,km2,169.12,,,,,Lake-Kasumigaura,Germany
V100000123,,km2,126.59,,,,,Lake-Piso,Germany
V100000124,,km2,881.21,,,,,Lake-Szczcecin,Gha
V100000125,,km2,426.37,,,,,Lake-Evans,Guatemala
V100000126,,km2,348.38,,,,,Lake-Angikuni,Honduras
V100000127,,km2,73.7,,,,,Lake-Chiemsee,India
V100000128,,km2,298.88,,,,,Lake-Dianchi,India
V100000129,,km2,241.98,,,,,Lake-Kamik,Indonesia
V100000130,,km2,162.05,,,,,Lake-Matano,Indonesia
V100000131,,km2,1281.57,,,,,Lake-Ronge,Indonesia
V100000132,,km2,1219.15,,,,,Lake-Sakakawea,Indonesia
V100000133,,km2,60.96,,,,,Lake-Sibayi,Iran
V100000134,,km2,5255.76,,,,,Lake-Reindeer,Iraq
V100000135,,km2,16863.47,,,,,Lake-Balkhash,Ireland
V100000136,,km2,491.93,,,,,Lake-Kyaring,Ireland
V100000137,,km2,133.73,,,,,Lake-Beaverhill,Israel
V100000138,,km2,1638.42,,,,,Lake-Baker,Italy
V100000139,,km2,772.61,,,,,Lake-Chocon,Italy
V100000140,,km2,58368.05,,,,,Lake-Huron,Italy
V100000141,,km2,317.65,,,,,Lake-Sakami,Italy
V100000142,,km2,326.9,,,,,Lake-Bolon,Ivory_Coast
V100000143,,km2,743.3,,,,,Lake-Garry,Ivory_Coast
V100000144,,km2,4077.76,,,,,Lake-Gairdner,Japan
V100000145,,km2,189.5,,,,,Lake-Fitri,Kazakhstan
V100000146,,km2,939.19,,,,,Lake-Nueltin,Kazakhstan
V100000147,,km2,9450.78,,,,,Lake-Onega,Kazakhstan
V100000148,,km2,1339.88,,,,,Lake-Razazza,Kazakhstan
V100000149,,km2,4671.55,,,,,Lake-Taymyr,Kazakhstan
V100000150,,km2,133.7,,,,,Lake-Baringo,Kenya
V100000151,,km2,661.35,,,,,Lake-Hirakud,Kenya
V100000152,,km2,129.08,,,,,Lake-ivasha,Kenya
V100000153,,km2,2430.31,,,,,Lake-Kivu,Kenya
V100000154,,km2,150.35,,,,,Lake-Logipi,Kenya
V100000155,,km2,54.58,,,,,Lake-Starnberg,Kenya
V100000156,,km2,7562.05,,,,,Lake-Turka,Kenya
V100000157,,km2,285.03,,,,,Lake-Eskimo,Kyrgyzstan
V100000158,,km2,371.96,,,,,Lake-Manouane,Liberia
V100000159,,km2,378.44,,,,,Lake-Sandy,Madagascar
V100000160,,km2,1177.97,,,,,Lake-Ijsselmeer,Malawi
V100000161,,km2,905.67,,,,,Lake-Bay,Mexico
V100000162,,km2,47.6,,,,,Lake-Inle,Mexico
V100000163,,km2,1073.78,,,,,Lake-Magua,Mexico
V100000164,,km2,668.11,,,,,Lake-Dead,Mongolia
V100000165,,km2,494.75,,,,,Lake-Ebrie,Mongolia
V100000166,,km2,730.71,,,,,Lake-Gaoyou,Mongolia
V100000167,,km2,710.55,,,,,Lake-Simcoe,Mongolia
V100000168,,km2,1232.48,,,,,Lake-Oahe,Montenegro
V100000169,,km2,292.03,,,,,Lake-Enriquillo,Myanmar
V100000170,,km2,2264.61,,,,,Lake-Edward,Netherlands
V100000171,,km2,2090.09,,,,,Lake-Kakhovskoye,Netherlands
V100000172,,km2,480.05,,,,,Lake-Pyramid,New_Zealand
V100000173,,km2,897.52,,,,,Lake-Iri,Nicaragua
V100000174,,km2,180.82,,,,,Lake-Evoron,Nigeria
V100000175,,km2,4106.63,,,,,Lake-Khanka,Papua_New_Guinea
V100000176,,km2,3910.2,,,,,Lake-Guri,Philippines
V100000177,,km2,550.01,,,,,Lake-Point,Poland
V100000178,,km2,584.39,,,,,Lake-knek,Romania
V100000179,,km2,499.7,,,,,Lake-Artillery,Russia
V100000180,,km2,611.99,,,,,Lake-Buyr,Russia
V100000181,,km2,573.09,,,,,Lake-Geneva,Russia
V100000182,,km2,476.08,,,,,Lake-Gras,Russia
V100000183,,km2,7.7,,,,,Lake-Muggelsee,USA
V100000184,,km2,854.24,,,,,Lake-Mackay,Russia
V100000185,,km2,1796.88,,,,,Lake-Mistassini,Russia
V100000186,,km2,187.07,,,,,Lake-Mono,Russia
V100000187,,km2,354.74,,,,,Lake-Ohrid,Russia
V100000188,,km2,4356.81,,,,,Lake-Qinghai,Russia
V100000189,,km2,5961.86,,,,,Lake-Rukwa,Russia
V100000190,,km2,3883.07,,,,,Lake-Sarykamyshskoye,Russia
V100000191,,km2,462.8,,,,,Lake-Selwyn,Russia
V100000192,,km2,498.39,,,,,Lake-Tahoe,Russia
V100000193,,km2,359.7,,,,,Lake-Garda,Rwanda
V100000194,,km2,293.81,,,,,Lake-Pangong,South_Africa
V100000195,,km2,164.07,,,,,Lake-Acigol,Surime
V100000196,,km2,1065.37,,,,,Lake-Brokopondo,Suriname
V100000197,,km2,828.56,,,,,Lake-Dongting,Sweden
V100000198,,km2,1390.99,,,,,Lake-Hyargas,Sweden
V100000199,,km2,648.87,,,,,Lake-Playgreen,Sweden
V100000200,,km2,423.93,,,,,Lake-Snowbird,Sweden
V100000201,,km2,182.47,,,,,Lake-Songkhla,Sweden
V100000202,,km2,1220.03,,,,,Lake-Aberdeen,Switzerland
V100000203,,km2,168.97,,,,,Lake-Cross,Switzerland
V100000204,,km2,738.45,,,,,Lake-Hottah,Switzerland
V100000205,,km2,2842.6,,,,,Lake-Kyoga,Switzerland
V100000206,,km2,852.67,,,,,Lake-Oulujarvi,Switzerland
V100000207,,km2,315.27,,,,,Lake-Rogaguado,Switzerland
V100000208,,km2,1482.7,,,,,Lake-Tengiz,Switzerland
V100000209,,km2,1005.8,,,,,Lake-Terim,Switzerland
V100000210,,km2,683.65,,,,,Lake-Caratasca,Tanzania
V100000211,,km2,664.01,,,,,Lake-Izabal,Tanzania
V100000212,,km2,152.54,,,,,Lake-Kus,Tanzania
V100000213,,km2,552.67,,,,,Lake-Manyara,Tanzania
V100000214,,km2,852.81,,,,,Lake-Natron,Tanzania
V100000215,,km2,210.85,,,,,Lake-Neuchatel,Tanzania
V100000216,,km2,432.29,,,,,Lake-Hjalmaren,Thailand
V100000217,,km2,403.72,,,,,Lake-Payne,Thailand
V100000218,,km2,779.8,,,,,Lake-Pielinen,Thailand
V100000219,,km2,5578.64,,,,,Lake-Albert,Turkey
V100000220,,km2,972.65,,,,,Lake-Bosten,Turkey
V100000221,,km2,858.5,,,,,Lake-Seletyteniz,Turkey
V100000222,,km2,318.4,,,,,Lake-Sikharin,Turkey
V100000223,,km2,4327.92,,,,,Lake-Nipigon,Turkmenistan
V100000224,,km2,113.67,,,,,Lake-Bolse,Uganda
V100000225,,km2,720.62,,,,,Lake-Gods,Uganda
V100000226,,km2,1221.67,,,,,Lake-Eyasi,Ukraine
V100000227,,km2,458.72,,,,,Lake-Egirdir,USA
V100000228,,km2,2619.97,,,,,Lake-Iliam,USA
V100000229,,km2,1241.65,,,,,Lake-Kasba,USA
V100000230,,km2,487.78,,,,,Lake-Kossou,USA
V100000231,,km2,110.23,,,,,Lake-Lucerne,USA
V100000232,,km2,2011.15,,,,,Lake-m,USA
V100000233,,km2,135.69,,,,,Lake-Neusiedl,USA
V100000234,,km2,670.99,,,,,Lake-Ngoring,USA
V100000235,,km2,1366.43,,,,,Lake-Okeechobee,USA
V100000236,,km2,300.05,,,,,Lake-Pomo,USA
V100000237,,km2,1129.06,,,,,Lake-Red,USA
V100000238,,km2,2346.31,,,,,Lake-Tai,USA
V100000239,,km2,228.48,,,,,Lake-Cuitzeo,Venezuela
V100000240,,km2,370.06,,,,,Lake-Frobisher,Zambia
V100000241,,km2,908.84,,,,,Lake-Teshekpuk,
V100000242,,km2,1750.98,,,,,Lake-Thertar,
V100000243,,km2,45.69,,,,,Lake-Thun,
V100000244,,km2,1142.95,,,,,Lake-Toba,
V100000245,,km2,904.37,,,,,Lake-Topozero,
V100000246,,km2,568.03,,,,,Lake-Towuti,
V100000247,,km2,119.84,,,,,Lake-Trasimeno,
V100000248,,km2,483.77,,,,,Lake-Trout,
V100000249,,km2,17.8,,,,,Lake-Tsimampetsotsa,
V100000250,,km2,2309.49,,,,,Lake-Tsimlyanskoye,
V100000251,,km2,2239.62,,,,,Lake-Tucurui,
V100000252,,km2,650.66,,,,,Lake-Tulemalu,
V100000253,,km2,770.6,,,,,Lake-Tumba,
V100000254,,km2,1756.76,,,,,Lake-Tuz,
V100000255,,km2,424.29,,,,,Lake-Ubinskoye,
V100000256,,km2,852.8,,,,,Lake-Ulungur,
V100000257,,km2,698.96,,,,,Lake-Upemba,
V100000258,,km2,5261.75,,,,,Lake-Urmia,
V100000259,,km2,3621.52,,,,,Lake-Uvs,
V100000260,,km2,3598.77,,,,,Lake-Van,
V100000261,,km2,5349.31,,,,,Lake-Vanern,
V100000262,,km2,1872.5,,,,,Lake-Vattern,
V100000263,,km2,67840.04,,,,,Lake-Victoria,
V100000264,,km2,1247.24,,,,,Lake-Viedma,
V100000265,,km2,6261.25,,,,,Lake-Volta,
V100000266,,km2,1085.22,,,,,Lake-Vygozero,
V100000267,,km2,523.66,,,,,Lake-Winnebago,
V100000268,,km2,2028.01,,,,,Lake-Wollaston,
V100000269,,km2,2422.1,,,,,Lake-Woods,
V100000270,,km2,320.29,,,,,Lake-Xavantes,
V100000271,,km2,620.01,,,,,Lake-Yamdrok,
V100000272,,km2,1273.6,,,,,Lake-Yathkyed,
V100000273,,km2,4325.45,,,,,Lake-Zaysan,
V100000274,,km2,1952.01,,,,,Lake-Ziling,
V100000275,,km2,37.13,,,,,Lake-Zug,
V100000276,,km2,83.43,,,,,Lake-Zurich,
V100000277,,km2,1271.12,,,,,Lake-Claire,Afghanistan
V100000278,,km2,834.56,,,,,Lake-Luang,Albania
V100000279,,km2,4269.47,,,,,Lake-Mirim,Albania
V100000280,,km2,571.3,,,,,Lake-Atlin,Argenti
V100000281,,km2,679.54,,,,,Lake-Ayakkum,Argenti
V100000282,,km2,1329.25,,,,,Lake-Chad,Argenti
V100000283,,km2,581.31,,,,,Lake-Har,Argenti
V100000284,,km2,429.2,,,,,Lake-Storsjon,Argenti
V100000285,,km2,744.89,,,,,Lake-Paijanne,Armenia
V100000286,,km2,2504.53,,,,,Lake-Cedar,Australia
V100000287,,km2,1040.59,,,,,Lake-Chapala,Australia
V100000288,,km2,547.18,,,,,Lake-Bakhtegan,Austria
V100000289,,km2,560.23,,,,,Lake-Labaz,Austria
V100000290,,km2,916.96,,,,,Lake-Contwoyto,Bolivia
V100000291,,km2,570.2,,,,,Lake-Gyaring,Bolivia
V100000292,,km2,1603.98,,,,,Lake-Martre,Bolivia
V100000293,,km2,410.7,,,,,Lake-Aby,Brazil
V100000294,,km2,29.09,,,,,Lake-Brienz,Brazil
V100000295,,km2,59.2,,,,,Lake-Iseo,Brazil
V100000296,,km2,1197.44,,,,,Lake-Kainji,Brazil
V100000297,,km2,1236.03,,,,,Lake-Kapchagayskoyevodo,Brazil
V100000298,,km2,756.15,,,,,Lake-Pyaozero,Brazil
V100000299,,km2,748.55,,,,,Lake-Sasykkol,Brazil
V100000300,,km2,2649.86,,,,,Lake-Tapajos,Brazil
V100000301,,km2,24518.67,,,,,Lake-Aral,Cameroon
V100000302,,km2,2939.46,,,,,Lake-Alakol,Canada
V100000303,,km2,362.53,,,,,Lake-Angostura,Canada
V100000304,,km2,902.91,,,,,Lake-Argyle,Canada
V100000305,,km2,683.11,,,,,Lake-Aylmer,Canada
V100000306,,km2,32056.74,,,,,Lake-Baikal,Canada
V100000307,,km2,578.09,,,,,Lake-Balaton,Canada
V100000308,,km2,532.29,,,,,Lake-Bardawil,Canada
V100000309,,km2,282.24,,,,,Lake-Bear,Canada
V100000310,,km2,1167.05,,,,,Lake-Becharof,Canada
V100000311,,km2,558.02,,,,,Lake-Bienville,Canada
V100000312,,km2,160.21,,,,,Lake-Bisi,Canada
V100000313,,km2,578.2,,,,,Lake-Buffalo,Canada
V100000314,,km2,158.31,,,,,Lake-Burdur,Canada
V100000315,,km2,251.59,,,,,Lake-Burullus,Canada
V100000316,,km2,1230.06,,,,,Lake-Chany,Canada
V100000317,,km2,552.83,,,,,Lake-Churchill,Canada
V100000318,,km2,162.03,,,,,Lake-Corrib,Canada
V100000319,,km2,1203.94,,,,,Lake-Cree,Canada
V100000320,,km2,516.44,,,,,Lake-Deschambault,Canada
V100000321,,km2,628.9,,,,,Lake-Dore,Canada
V100000322,,km2,590.07,,,,,Lake-Ebi,Canada
V100000323,,km2,8048.29,,,,,Lake-Eyre,Canada
V100000324,,km2,538.66,,,,,Lake-Ferguson,Canada
V100000325,,km2,217.22,,,,,Lake-Fuxian,Canada
V100000326,,km2,2120.17,,,,,Lake-Hulun,Canada
V100000327,,km2,453.24,,,,,Lake-Island,Canada
V100000328,,km2,6223.73,,,,,Lake-Issykkul,Canada
V100000329,,km2,593.27,,,,,Lake-Kamilukuak,Canada
V100000330,,km2,440.51,,,,,Lake-Kaminuriak,Canada
V100000331,,km2,5289.82,,,,,Lake-Kariba,Canada
V100000332,,km2,179.14,,,,,Lake-Llancanelo,Canada
V100000333,,km2,207.83,,,,,Lake-Maggiore,Canada
V100000334,,km2,16.63,,,,,Lake-Mandinga,Canada
V100000335,,km2,5083.87,,,,,Lake-Mweru,Canada
V100000336,,km2,375.57,,,,,Lake-Neagh,Canada
V100000337,,km2,510.69,,,,,Lake-Ngangla,Canada
V100000338,,km2,7935.69,,,,,Lake-Nicaragua,Canada
V100000339,,km2,19010.8,,,,,Lake-Ontario,Canada
V100000340,,km2,90.35,,,,,Lake-Patzcuaro,Canada
V100000341,,km2,3498.41,,,,,Lake-Peipus,Canada
V100000342,,km2,369.53,,,,,Lake-Poso,Canada
V100000343,,km2,701.87,,,,,Lake-Pyasino,Canada
V100000344,,km2,508.4,,,,,Lake-Rainy,Canada
V100000345,,km2,977.04,,,,,Lake-Salton,Canada
V100000346,,km2,394.23,,,,,Lake-Scutari,Canada
V100000347,,km2,5452.97,,,,,Lake-sser,Canada
V100000348,,km2,980.4,,,,,Lake-Takiyuak,Canada
V100000349,,km2,846.87,,,,,Lake-Tangra,Canada
V100000350,,km2,614.43,,,,,Lake-Taupo,Canada
V100000351,,km2,970.11,,,,,Lake-Champlain,Chad
V100000352,,km2,315.82,,,,,Lake-Abe,Chi
V100000353,,km2,2885.77,,,,,Lake-Amadjuak,Chi
V100000354,,km2,108.44,,,,,Lake-Ashuanipi,Chi
V100000355,,km2,630.37,,,,,Lake-Beysehir,Chi
V100000356,,km2,670.31,,,,,Lake-Biwa,Chi
V100000357,,km2,796.03,,,,,Lake-Chao,Chi
V100000358,,km2,6253.63,,,,,Lake-Chiquita,Chi
V100000359,,km2,511.48,,,,,Lake-Dauphin,Chi
V100000360,,km2,3415.13,,,,,Lake-Dubawnt,Chi
V100000361,,km2,446.27,,,,,Lake-Gandhi,Chi
V100000362,,km2,332.96,,,,,Lake-Ginebra,Chi
V100000363,,km2,2516.64,,,,,Lake-Kremenshugskoye,Chi
V100000364,,km2,17271.1,,,,,Lake-Ladoga,Chi
V100000365,,km2,356.82,,,,,Lake-Lao,Chi
V100000366,,km2,300.32,,,,,Lake-Malheur,Chi
V100000367,,km2,709.81,,,,,Lake-Markermeer,Chi
V100000368,,km2,465.77,,,,,Lake-Minto,Chi
V100000369,,km2,575.16,,,,,Lake-Murray,Chi
V100000370,,km2,777.13,,,,,Lake-Poopo,Chi
V100000371,,km2,263.4,,,,,Lake-Prespa,Chi
V100000372,,km2,517.63,,,,,Lake-Razelm,Chi
V100000373,,km2,14.04,,,,,Lake-Sempach,Chi
V100000374,,km2,556.24,,,,,Lake-Tathli,Chi
V100000375,,km2,447.87,,,,,Lake-Tebesjuak,Chi
V100000376,,km2,1190.55,,,,,Lake-Beloye,Chile
V100000377,,km2,302.65,,,,,Lake-Hazen,Chile
V100000378,,km2,560.73,,,,,Lake-Brisas,Dominican_Republic
V100000379,,km2,2782.03,,,,,Lake-Khovsgol,DRC
V100000380,,km2,774.56,,,,,Lake-Segozero,DRC
V100000381,,km2,1259.61,,,,,Lake-Sevan,DRC
V100000382,,km2,721.78,,,,,Lake-Alexandri,Egypt
V100000383,,km2,693.29,,,,,Lake-Kulundinskoye,Egypt
V100000384,,km2,768.28,,,,,Lake-Mangueira,Estonia
V100000385,,km2,1100.55,,,,,Lake-Abaya,Ethiopia
V100000386,,km2,1386.1,,,,,Lake-Argentino,Ethiopia
V100000387,,km2,644.72,,,,,Lake-Assad,Ethiopia
V100000388,,km2,314.92,,,,,Lake-Chamo,Ethiopia
V100000389,,km2,2415.2,,,,,Lake-Poyang,Ethiopia
V100000390,,km2,1047.15,,,,,Lake-Selawik,Ethiopia
V100000391,,km2,3085.59,,,,,Lake-Ta,Ethiopia
V100000392,,km2,317.82,,,,,Lake-Emborcacao,Finland
V100000393,,km2,848.08,,,,,Lake-Malaren,Finland
V100000394,,km2,29816.65,,,,,Lake-Malawi,Finland
V100000395,,km2,4559.22,,,,,Lake-Manitoba,Finland
V100000396,,km2,140.78,,,,,Lake-Como,France
V100000397,,km2,7621.08,,,,,Lake-Athabasca,Germany
V100000398,,km2,169.12,,,,,Lake-Kasumigaura,Germany
V100000399,,km2,126.59,,,,,Lake-Piso,Germany
V100000400,,km2,881.21,,,,,Lake-Szczcecin,Gha
V100000401,,km2,426.37,,,,,Lake-Evans,Guatemala
V100000402,,km2,348.38,,,,,Lake-Angikuni,Honduras
V100000403,,km2,73.7,,,,,Lake-Chiemsee,India
V100000404,,km2,298.88,,,,,Lake-Dianchi,India
V100000405,,km2,241.98,,,,,Lake-Kamik,Indonesia
V100000406,,km2,162.05,,,,,Lake-Matano,Indonesia
V100000407,,km2,1281.57,,,,,Lake-Ronge,Indonesia
V100000408,,km2,1219.15,,,,,Lake-Sakakawea,Indonesia
V100000409,,km2,60.96,,,,,Lake-Sibayi,Iran
V100000410,,km2,5255.76,,,,,Lake-Reindeer,Iraq
V100000411,,km2,16863.47,,,,,Lake-Balkhash,Ireland
V100000412,,km2,491.93,,,,,Lake-Kyaring,Ireland
V100000413,,km2,133.73,,,,,Lake-Beaverhill,Israel
V100000414,,km2,1638.42,,,,,Lake-Baker,Italy
V100000415,,km2,772.61,,,,,Lake-Chocon,Italy
V100000416,,km2,58368.05,,,,,Lake-Huron,Italy
V100000417,,km2,317.65,,,,,Lake-Sakami,Italy
V100000418,,km2,326.9,,,,,Lake-Bolon,Ivory_Coast
V100000419,,km2,743.3,,,,,Lake-Garry,Ivory_Coast
V100000420,,km2,4077.76,,,,,Lake-Gairdner,Japan
V100000421,,km2,189.5,,,,,Lake-Fitri,Kazakhstan
V100000422,,km2,939.19,,,,,Lake-Nueltin,Kazakhstan
V100000423,,km2,9450.78,,,,,Lake-Onega,Kazakhstan
V100000424,,km2,1339.88,,,,,Lake-Razazza,Kazakhstan
V100000425,,km2,4671.55,,,,,Lake-Taymyr,Kazakhstan
V100000426,,km2,133.7,,,,,Lake-Baringo,Kenya
V100000427,,km2,661.35,,,,,Lake-Hirakud,Kenya
V100000428,,km2,129.08,,,,,Lake-ivasha,Kenya
V100000429,,km2,2430.31,,,,,Lake-Kivu,Kenya
V100000430,,km2,150.35,,,,,Lake-Logipi,Kenya
V100000431,,km2,54.58,,,,,Lake-Starnberg,Kenya
V100000432,,km2,7562.05,,,,,Lake-Turka,Kenya
V100000433,,km2,285.03,,,,,Lake-Eskimo,Kyrgyzstan
V100000434,,km2,371.96,,,,,Lake-Manouane,Liberia
V100000435,,km2,378.44,,,,,Lake-Sandy,Madagascar
V100000436,,km2,1177.97,,,,,Lake-Ijsselmeer,Malawi
V100000437,,km2,905.67,,,,,Lake-Bay,Mexico
V100000438,,km2,47.6,,,,,Lake-Inle,Mexico
V100000439,,km2,1073.78,,,,,Lake-Magua,Mexico
V100000440,,km2,668.11,,,,,Lake-Dead,Mongolia
V100000441,,km2,494.75,,,,,Lake-Ebrie,Mongolia
V100000442,,km2,730.71,,,,,Lake-Gaoyou,Mongolia
V100000443,,km2,710.55,,,,,Lake-Simcoe,Mongolia
V100000444,,km2,1232.48,,,,,Lake-Oahe,Montenegro
V100000445,,km2,292.03,,,,,Lake-Enriquillo,Myanmar
